produto,grupo,periodo,valor_reais,valor_num,min_noites,tipo_periodo,diagnostico,observacoes
Apto Organic,Pousada base,Agosto/2026,R$ 399,399,1-2,Baixa temporada,manter,
Suíte Fuego,Pousada base,Agosto/2026,R$ 399,399,1-2,Baixa temporada,manter,
Suíte Metallo,Pousada base,Agosto/2026,R$ 399,399,1-2,Baixa temporada,manter,
Apto Organic,Pousada base,Setembro/2026 base,R$ 449,449,1-2,Retomada,manter,
Suíte Fuego,Pousada base,Setembro/2026 base,R$ 449,449,1-2,Retomada,manter,
Suíte Metallo,Pousada base,Setembro/2026 base,R$ 449,449,1-2,Retomada,manter,
Apto Organic,Pousada base,Setembro/2026 feriado,R$ 499,499,4,Feriado,revisar,"Verificar se 4 noites não trava demanda."
Suíte Fuego,Pousada base,Setembro/2026 feriado,R$ 499,499,4,Feriado,revisar,"Verificar se 4 noites não trava demanda."
Suíte Metallo,Pousada base,Setembro/2026 feriado,R$ 499,499,4,Feriado,revisar,"Verificar se 4 noites não trava demanda."
Apto Organic,Pousada base,Outubro/2026 base,R$ 499,499,1-2,Média temporada,manter,
Suíte Fuego,Pousada base,Outubro/2026 base,R$ 499,499,1-2,Média temporada,manter,
Suíte Metallo,Pousada base,Outubro/2026 base,R$ 499,499,1-2,Média temporada,manter,
Apto Organic,Pousada base,Outubro/2026 feriado,R$ 529,529,3,Feriado,revisar,"Aumento sobre base parece tímido."
Suíte Fuego,Pousada base,Outubro/2026 feriado,R$ 529,529,3,Feriado,revisar,"Aumento sobre base parece tímido."
Suíte Metallo,Pousada base,Outubro/2026 feriado,R$ 529,529,3,Feriado,revisar,"Aumento sobre base parece tímido."
Apto Organic,Pousada base,Novembro/2026 base,R$ 526,526,1-2,Pré-temporada,manter,
Suíte Fuego,Pousada base,Novembro/2026 base,R$ 526,526,1-2,Pré-temporada,manter,
Suíte Metallo,Pousada base,Novembro/2026 base,R$ 526,526,1-2,Pré-temporada,manter,
Apto Organic,Pousada base,Novembro/2026 início/feriado,R$ 579,579,3,Feriado,manter,
Suíte Fuego,Pousada base,Novembro/2026 início/feriado,R$ 579,579,3,Feriado,manter,
Suíte Metallo,Pousada base,Novembro/2026 início/feriado,R$ 579,579,3,Feriado,manter,
Apto Organic,Pousada base,Novembro/2026 feriado forte 19-21,R$ 717,717,3,Feriado forte,manter,
Suíte Fuego,Pousada base,Novembro/2026 feriado forte 19-21,R$ 717,717,3,Feriado forte,manter,
Suíte Metallo,Pousada base,Novembro/2026 feriado forte 19-21,R$ 717,717,3,Feriado forte,manter,
Apto Organic,Pousada base,Dezembro/2026 1-18,R$ 629,629,1-2,Pré-alta,manter,
Suíte Fuego,Pousada base,Dezembro/2026 1-18,R$ 629,629,1-2,Pré-alta,manter,
Suíte Metallo,Pousada base,Dezembro/2026 1-18,R$ 629,629,1-2,Pré-alta,manter,
Apto Organic,Pousada base,Natal/2026 19-25 dez,R$ 889,889,5,Natal,proteger,"Evitar desconto cedo."
Suíte Fuego,Pousada base,Natal/2026 19-25 dez,R$ 889,889,5,Natal,proteger,"Evitar desconto cedo."
Suíte Metallo,Pousada base,Natal/2026 19-25 dez,R$ 889,889,5,Natal,proteger,"Evitar desconto cedo."
Apto Organic,Pousada base,Réveillon/2026 26-31 dez,R$ 1.337,1337,7,Réveillon,proteger,"Avaliar junto com janeiro/2027."
Suíte Fuego,Pousada base,Réveillon/2026 26-31 dez,R$ 1.337,1337,7,Réveillon,proteger,"Avaliar junto com janeiro/2027."
Suíte Metallo,Pousada base,Réveillon/2026 26-31 dez,R$ 1.337,1337,7,Réveillon,proteger,"Avaliar junto com janeiro/2027."
Suíte Terra,Pousada premium intermediária,Agosto/2026,R$ 459,459,1-2,Baixa temporada,manter,"Wood segue Terra."
Suíte Wood,Pousada premium intermediária,Agosto/2026,R$ 459,459,1-2,Baixa temporada,manter,"Wood segue Terra."
Suíte Terra,Pousada premium intermediária,Setembro/2026 base,R$ 516,516,1-2,Retomada,manter,"Wood segue Terra."
Suíte Wood,Pousada premium intermediária,Setembro/2026 base,R$ 516,516,1-2,Retomada,manter,"Wood segue Terra."
