data_coleta,data_checkin,data_checkout,noites,hospedes,produto_villa_referencia,unidade_villa_referencia,concorrente,canal,link,disponivel,preco_total_visivel_canal,preco_diaria_visivel_canal,taxas_inclusas,minimo_noites,observacoes,preco_diaria_motor_equivalente,status
2026-07-25,2026-10-09,2026-10-12,3,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Boa Vida,Booking,https://www.booking.com/hotel/br/vila-boa-vida.pt-br.html?checkin=2026-10-09&checkout=2026-10-12&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.271,00","R$ 423,67",SIM,"não confirmado; a busca de 3 noites foi aceita","Quarto Duplo Standard, 1 cama de casal, máx. 2 pessoas, usado como âncora casal base. Outras tarifas visíveis no mesmo período (3 noites, 2 adultos, impostos e taxas incluídos): Suíte R$ 1.571 total; Suíte com hidromassagem R$ 1.946 total; Suíte Deluxe com hidromassagem R$ 2.246 total; Chalé R$ 2.321 total. Depósito caução de R$ 500 na chegada, reembolsável, não incluso na tarifa.","R$ 338,93",COLETADO_COM_SUCESSO
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Boa Vida,Booking,https://www.booking.com/hotel/br/vila-boa-vida.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.695,00","R$ 423,75",SIM,"não informado explicitamente; busca de 4 noites aceita","Rodada 1 (feriado 7 de Setembro + Curitiba 8/9). Âncora: Quarto Duplo Standard.","R$ 339,00",COLETADO_COM_SUCESSO
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),Vila Maciel,Booking,https://www.booking.com/hotel/br/villa-maciel-bombinhas.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 938,00 (com 30% de desconto ativo; original R$ 1.340,00)","R$ 234,50",SIM,"não informado","Rodada 1. Âncora: Apartamento Standard. Preço com desconto promocional ativo no momento da coleta.","R$ 187,60",COLETADO_COM_SUCESSO
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kaloa Eco Village,Booking,https://www.booking.com/hotel/br/pousada-kaloa-eco-village.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.949,00","R$ 487,25",SIM,"não informado","Rodada 1. Âncora: Suíte Standard.","R$ 389,80",COLETADO_COM_SUCESSO
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Riviera Bombinhas,Booking,https://www.booking.com/hotel/br/pousada-riviera-bombinhas.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.894,00","R$ 473,50",SIM,"não informado","Rodada 1. Âncora: Suíte Loft Riviera.","R$ 378,80",COLETADO_COM_SUCESSO
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada dos Ingleses,Booking,https://www.booking.com/hotel/br/pousada-dos-ingleses.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 1.254,00 (R$ 1.134,00 + R$ 120,00 de impostos/taxas exibidos à parte)","R$ 313,50",NAO (taxas separadas neste site — já somadas ao total acima),"não informado","Rodada 1. Âncora: Quarto Duplo Clássico. Apenas 3 categorias disponíveis nesta busca (Quarto Duplo Básico não apareceu, possivelmente esgotado).","R$ 250,80",COLETADO_COM_SUCESSO
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Dom Capudi,Booking,https://www.booking.com/hotel/br/pousada-dom-capudi.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,NAO,N/A,N/A,N/A,N/A,"Rodada 1. Booking exibe: 'Não temos disponibilidade aqui de sex., 4 de set. de 2026 a ter., 8 de set. de 2026.' Todas as categorias (incluindo a âncora Quarto Duplo) aparecem indisponíveis — esgotado no site para o período do feriado.",N/A,PRECISA_VALIDACAO_MANUAL
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),Pousada Kia Ora Bombinhas,Booking,https://www.booking.com/hotel/br/kia-ora-bombinhas.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 2.341,00","R$ 585,25",SIM,"não informado","Rodada 1. Âncora: Quarto Duplo Deluxe com Vista Lateral do Mar (plano de cancelamento mais barato entre 2 opções da mesma categoria).","R$ 468,20",COLETADO_COM_SUCESSO
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),Morada do Guaruça,Booking,https://www.booking.com/hotel/br/morada-do-guaruca.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,NAO,N/A,N/A,N/A,N/A,"Rodada 1 (ampliada). A âncora aprovada na Rodada 0 (Apartamento de 1 Quarto, R$ 1.835/3 diárias) não aparece entre as categorias disponíveis para este período — provavelmente esgotada. Outras categorias mais caras seguem à venda (Apartamento com Vista do Mar R$ 3.601; Apartamento Standard R$ 3.714; Apartamento Duplex R$ 4.554, todos 4 diárias), mas não são a âncora aprovada — não usadas como coleta válida.",N/A,PRECISA_VALIDACAO_MANUAL
2026-07-25,2026-09-04,2026-09-08,4,2,Pousada Arágua,base (Organic/Fuego/Metallo),UP Hotel Boutique,Booking,https://www.booking.com/hotel/br/up-boutique.pt-br.html?checkin=2026-09-04&checkout=2026-09-08&group_adults=2&group_children=0&no_rooms=1,SIM,"R$ 2.412,00","R$ 603,00",SIM,"não informado","Rodada 1 (ampliada). Âncora: Quarto Duplo Deluxe com Banheira (plano de cancelamento mais barato entre 2 opções da mesma categoria).","R$ 482,40",COLETADO_COM_SUCESSO
