BLOCO	VARIACAO	FOTO_SUGERIDA	TEXTO_IMAGEM	TITULO	TEXTO_PRINCIPAL	DESCRICAO
BLOCO 1 - POUSADA - PACOTE DIRETO	VARIAÇÃO 1	POUSADA_7SET_PACOTE_DIRETO_01.jpg	POUSADA / Férias pra sempre	4 diárias por R$ 1.997,00	Feriado de 7 de Setembro: 4 diárias na Pousada Arágua por R$ 1.997,00. Café da manhã incluso, piscina e a praia de Mariscal pertinho. Consulte disponibilidade pelo WhatsApp.	Pousada Arágua — feriado de 7 de Setembro
BLOCO 1 - POUSADA - PACOTE DIRETO	VARIAÇÃO 2			Feriado em Mariscal com café incluso	Chegue, desacelere e aproveite o feriado perto do mar. Na Pousada Arágua, são 4 diárias por R$ 1.997,00, com café da manhã incluso, piscina e a Praia de Mariscal a poucos passos.	Pousada Arágua — café da manhã incluso
BLOCO 1 - POUSADA - PACOTE DIRETO	VARIAÇÃO 3			Feriado em família ou a dois	Para família ou casal, o feriado de 7 de Setembro na Pousada Arágua já vem com café da manhã incluso e piscina, por 4 diárias a R$ 1.997,00. É só chamar no WhatsApp para consultar a disponibilidade e escolher a suíte.	Pousada Arágua — feriado de 7 de Setembro
BLOCO 1 - POUSADA - PACOTE DIRETO	VARIAÇÃO 4			Preço fechado, sem surpresas	O pacote de 4 diárias na Pousada Arágua já inclui café da manhã e piscina de área comum, por R$ 1.997,00 fechado para o feriado de 7 de Setembro. Consulte a disponibilidade pelo WhatsApp.	Pousada Arágua — pacote fechado
BLOCO 1 - POUSADA - PACOTE DIRETO	VARIAÇÃO 5			Garanta o feriado de 7 de Setembro	O feriado de 7 de Setembro está chegando. Garanta já 4 diárias na Pousada Arágua por R$ 1.997,00, com café da manhã incluso e piscina.	Pousada Arágua — feriado de 7 de Setembro
BLOCO 2 - POUSADA - CAFÉ	VARIAÇÃO 1	POUSADA_7SET_CAFE_01.jpg	CAFÉ DA MANHÃ / Servido na suíte	Café da manhã na acomodação	Começar o dia com café da manhã entregue na própria acomodação — esse é um dos diferenciais da Pousada Arágua. No feriado de 7 de Setembro, pacote de 4 diárias por R$ 1.997,00.	Pousada Arágua — feriado de 7 de Setembro
BLOCO 2 - POUSADA - CAFÉ	VARIAÇÃO 2			Comece o dia com calma	Acordar e já ter o café da manhã esperando na acomodação — assim começam as manhãs na Pousada Arágua. No feriado de 7 de Setembro, pacote de 4 diárias por R$ 1.997,00.	Pousada Arágua — café da manhã incluso
BLOCO 2 - POUSADA - CAFÉ	VARIAÇÃO 3			Praticidade para a família toda	Para a família não perder tempo de manhã, o café já chega prontinho na acomodação — incluso em todas as diárias da Pousada Arágua. No feriado de 7 de Setembro, 4 diárias por R$ 1.997,00.	Pousada Arágua — feriado de 7 de Setembro
BLOCO 2 - POUSADA - CAFÉ	VARIAÇÃO 4			Sempre incluso, todos os dias	Diferente de apartamento ou Airbnb sem serviço, na Pousada Arágua o café da manhã é sempre incluso e entregue direto na acomodação. No feriado de 7 de Setembro, pacote de 4 diárias por R$ 1.997,00.	Pousada Arágua — diferencial do café da manhã
BLOCO 2 - POUSADA - CAFÉ	VARIAÇÃO 5			Café da manhã no feriado, sem sair do quarto	No feriado de 7 de Setembro, aproveite cada manhã com o café da manhã entregue direto na acomodação — um dos diferenciais da Pousada Arágua. Pacote de 4 diárias por R$ 1.997,00.	Pousada Arágua — feriado de 7 de Setembro
BLOCO 3 - POUSADA - PISCINA	VARIAÇÃO 1	POUSADA_7SET_PISCINA_01.webp		Piscina de área comum	Piscina, área comum e o clima acolhedor da Pousada Arágua — tudo isso no feriado de 7 de Setembro, com pacote especial de 4 diárias por R$ 1.997,00.	Pousada Arágua — piscina e área comum
BLOCO 3 - POUSADA - PISCINA	VARIAÇÃO 2			Um mergulho, muito descanso	Um mergulho na piscina de área comum, um cantinho tranquilo para relaxar — assim é o clima da Pousada Arágua no feriado de 7 de Setembro. Pacote de 4 diárias por R$ 1.997,00.	Pousada Arágua — área comum e piscina
BLOCO 3 - POUSADA - PISCINA	VARIAÇÃO 3			Piscina para a família aproveitar	Enquanto as crianças brincam na piscina de área comum, os pais descansam no clima acolhedor da Pousada Arágua. No feriado de 7 de Setembro, pacote de 4 diárias por R$ 1.997,00.	Pousada Arágua — piscina de área comum
BLOCO 3 - POUSADA - PISCINA	VARIAÇÃO 4			Área comum tranquila, do jeito Pousada Arágua	Piscina e área comum bem cuidadas, num ambiente tranquilo e verde — esse é o clima da Pousada Arágua. No feriado de 7 de Setembro, 4 diárias por R$ 1.997,00.	Pousada Arágua — área comum
BLOCO 3 - POUSADA - PISCINA	VARIAÇÃO 5			Descanso garantido no feriado	No feriado de 7 de Setembro, aproveite a piscina de área comum e o clima acolhedor da Pousada Arágua. Pacote de 4 diárias por R$ 1.997,00 — consulte a disponibilidade.	Pousada Arágua — feriado de 7 de Setembro
BLOCO 4 - CASA - PISCINA PRIVATIVA	VARIAÇÃO 1	CASA_7SET_PISCINA_PRIVATIVA_01.webp		Piscina privativa só para vocês	Sua própria piscina privativa em Mariscal. No feriado de 7 de Setembro, a Casa Arágua acomoda até 6 pessoas, com diária média de R$ 990,00 e mínimo de 4 diárias.	Casa Arágua — feriado de 7 de Setembro
BLOCO 4 - CASA - PISCINA PRIVATIVA	VARIAÇÃO 2			Sua casa, sua piscina, seu ritmo	Sem dividir espaço, sem horário de ninguém — só a piscina privativa da Casa Arágua, para vocês aproveitarem do seu jeito. No feriado de 7 de Setembro, diária média de R$ 990,00, mínimo de 4 diárias.	Casa Arágua — piscina privativa
BLOCO 4 - CASA - PISCINA PRIVATIVA	VARIAÇÃO 3			Espaço para até 6 pessoas, só para o seu grupo	Para família ou grupo pequeno que busca privacidade, a Casa Arágua acomoda até 6 pessoas com piscina exclusiva. No feriado de 7 de Setembro, diária média de R$ 990,00, mínimo de 4 diárias.	Casa Arágua — até 6 pessoas
BLOCO 4 - CASA - PISCINA PRIVATIVA	VARIAÇÃO 4			Privacidade que faz diferença	A piscina é só sua durante toda a estadia — esse é o diferencial da Casa Arágua em Mariscal. No feriado de 7 de Setembro, até 6 pessoas, diária média de R$ 990,00, mínimo de 4 diárias.	Casa Arágua — piscina privativa
BLOCO 4 - CASA - PISCINA PRIVATIVA	VARIAÇÃO 5			Reserve a Casa para o feriado	No feriado de 7 de Setembro, garanta a Casa Arágua com piscina privativa só para o seu grupo — até 6 pessoas, diária média de R$ 990,00, mínimo de 4 diárias. Consulte a disponibilidade pelo WhatsApp.	Casa Arágua — feriado de 7 de Setembro
BLOCO 5 - CASA - ESPAÇO INTEGRADO / CHURRASQUEIRA	VARIAÇÃO 1	CASA_7SET_CHURRASQUEIRA_01.webp		Espaço para reunir a família em Mariscal	Ambiente integrado e aconchegante para reunir a família no feriado de 7 de Setembro, na sua própria casa em Mariscal. Casa Arágua: piscina privativa, churrasqueira própria e espaço para até 6 pessoas.	Casa Arágua — feriado de 7 de Setembro
BLOCO 5 - CASA - ESPAÇO INTEGRADO / CHURRASQUEIRA	VARIAÇÃO 2			Um dia tranquilo em família	Ambiente integrado, espaço aberto e a churrasqueira própria para um dia tranquilo em família — a Casa Arágua tem tudo isso, no feriado de 7 de Setembro.	Casa Arágua — ambiente integrado
BLOCO 5 - CASA - ESPAÇO INTEGRADO / CHURRASQUEIRA	VARIAÇÃO 3			Para famílias que gostam de estar juntas	Casa Arágua: espaço integrado, churrasqueira própria e até 6 pessoas, ideal para famílias que querem estar juntas no feriado de 7 de Setembro.	Casa Arágua — até 6 pessoas
BLOCO 5 - CASA - ESPAÇO INTEGRADO / CHURRASQUEIRA	VARIAÇÃO 4			Churrasqueira própria, no seu ritmo	Sem sair de casa, sem dividir espaço: a Casa Arágua tem churrasqueira própria e ambiente integrado para a família aproveitar o feriado de 7 de Setembro do seu jeito.	Casa Arágua — churrasqueira própria
BLOCO 5 - CASA - ESPAÇO INTEGRADO / CHURRASQUEIRA	VARIAÇÃO 5			O feriado pede uma casa assim	No feriado de 7 de Setembro, reúna a família na Casa Arágua: ambiente integrado, churrasqueira própria, piscina privativa e espaço para até 6 pessoas.	Casa Arágua — feriado de 7 de Setembro
